"Trial","Name","Method","pearson","g_cor","fold","year","trt"
"2013-14
Optimal Flat","H_fold_5.csv","GBLUP+H",0.230383615809712,0.396560548688585,5,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM","MegaLMM
GBLUP",0.488240679984575,0.226416865215235,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_fold_2.csv","MegaLMM
GBLUP",0.32088366420311,0.310945449774696,2,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_fold_3.csv","MegaLMM
GBLUP",0.473696709679482,0.360551758215993,3,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_fold_4.csv","MegaLMM
GBLUP",0.346546857396427,0.295955634258693,4,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_fold_5.csv","MegaLMM
GBLUP",0.499743210031839,0.437321858667976,5,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_no2nd","MegaLMM
GBLUP CV1",0.375026980497751,0.107153956036979,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_no2nd_fold_2.csv","MegaLMM
GBLUP CV1",0.360885153769998,0.260317454895265,2,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_no2nd_fold_3.csv","MegaLMM
GBLUP CV1",0.39359649663684,0.227137261147296,3,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_no2nd_fold_4.csv","MegaLMM
GBLUP CV1",0.459331644181507,0.325630723443971,4,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_no2nd_fold_5.csv","MegaLMM
GBLUP CV1",0.428488812179864,0.326872051280896,5,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_RKHS","MegaLMM
RKHS",0.377736360561767,0.314695453383166,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_RKHS_fold_2.csv","MegaLMM
RKHS",0.142734900235337,0.328257612395925,2,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_RKHS_fold_3.csv","MegaLMM
RKHS",0.393572948044166,0.486716498781694,3,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_RKHS_fold_4.csv","MegaLMM
RKHS",0.285816768760862,0.248216760250727,4,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","MegaLMM_RKHS_fold_5.csv","MegaLMM
RKHS",0.314001128491105,0.43696045426701,5,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate","RKHS",0.397006960011611,0.193898867080515,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate","Bayesian
Lasso",0.392682276702249,0.127675227895866,1,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_2.csv","RKHS",0.315204823679654,0.326504218642097,2,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_2.csv","Bayesian
Lasso",0.362495666147421,0.218725947533924,2,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_3.csv","RKHS",0.525533853578825,0.349731409691113,3,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_3.csv","Bayesian
Lasso",0.471944270173505,0.282913128947826,3,"2013-14","Optimal Flat"
"2013-14
Optimal Flat","univariate_fold_4.csv","RKHS",0.455677850848403,0.406126145391199,4,"2013-14","Optimal Flat"
